ID_Libro,Fecha_Creacion,Titulo,Paginas,Tema_Principal,Tags,Nivel_Tendencia_Mercado,Herramientas_AFAP,Precio_Venta
AF-188,2025-09-14 08:47:09,Guía de Productividad Vol. 68,51,Productividad,"mañana, metas, tiempo",7.8,3,10.97
AF-189,2025-06-02 00:47:09,Guía de Productividad Vol. 23,60,Productividad,"mañana, metas, disciplina",9.3,5,14.79
CB-190,2026-01-05 14:47:09,Guía de Ansiedad Vol. 73,62,Ansiedad,"calma, paz mental, respiración, salud, estrés",9.4,5,18.05
AF-191,2025-09-10 05:47:09,Guía de Productividad Vol. 13,63,Productividad,"hábitos, enfoque, tiempo",9.9,4,13.61
AF-192,2025-05-30 17:47:09,Guía de Liderazgo Vol. 71,62,Liderazgo,"equipos, comunicación, management, oficina",9.3,4,14.65
AF-193,2025-09-08 18:47:09,Guía de Crecimiento Personal Vol. 92,54,Crecimiento Personal,"cambio, psicología, motivación, autoestima, resiliencia",7.0,4,11.19
CB-194,2026-02-24 01:47:09,Guía de Ansiedad Vol. 56,64,Ansiedad,"calma, salud, respiración, estrés, paz mental",7.3,5,16.14
AF-195,2025-07-03 23:47:09,Guía de Productividad Vol. 38,63,Productividad,"hábitos, metas, mañana, enfoque",8.6,5,14.16
AF-196,2025-08-28 14:47:09,Guía de Crecimiento Personal Vol. 19,52,Crecimiento Personal,"cambio, psicología, motivación",7.9,3,10.57
AF-197,2025-11-04 01:47:09,Guía de Finanzas Personales Vol. 79,56,Finanzas Personales,"ahorro, inversión, presupuesto, libertad financiera",9.8,4,13.78
AF-198,2025-09-20 14:47:09,Guía de Crecimiento Personal Vol. 84,54,Crecimiento Personal,"psicología, motivación, cambio, resiliencia",7.5,4,12.49
AF-199,2026-01-27 20:47:09,Guía de Crecimiento Personal Vol. 74,57,Crecimiento Personal,"cambio, psicología, motivación, resiliencia",7.3,5,11.95
AF-200,2025-08-24 23:47:09,Guía de Finanzas Personales Vol. 4,64,Finanzas Personales,"inversión, presupuesto, libertad financiera, ahorro, dinero",9.0,3,14.07
AF-201,2025-05-12 02:47:09,Guía de Crecimiento Personal Vol. 49,52,Crecimiento Personal,"resiliencia, cambio, psicología, motivación",8.6,5,12.04
AF-202,2026-03-20 12:47:09,Guía de Finanzas Personales Vol. 77,52,Finanzas Personales,"inversión, dinero, ahorro",8.9,3,11.48
AF-203,2026-02-11 22:47:09,Guía de Liderazgo Vol. 56,53,Liderazgo,"oficina, empatía, equipos",8.5,5,12.47
AF-204,2025-07-05 02:47:09,Guía de Crecimiento Personal Vol. 60,54,Crecimiento Personal,"autoestima, cambio, resiliencia, motivación",8.2,3,10.63
AF-205,2025-06-20 15:47:09,Guía de Crecimiento Personal Vol. 27,65,Crecimiento Personal,"cambio, autoestima, motivación, psicología",8.0,4,13.09
AF-206,2025-08-20 03:47:09,Guía de Productividad Vol. 87,55,Productividad,"mañana, metas, disciplina, enfoque, hábitos",8.0,4,12.92
AF-207,2025-08-10 21:47:09,Guía de Ansiedad Vol. 82,63,Ansiedad,"estrés, calma, mindfulness, respiración",8.8,4,13.01
AF-208,2026-01-19 11:47:09,Guía de Productividad Vol. 74,53,Productividad,"mañana, enfoque, metas, hábitos, disciplina",7.3,5,12.48
AF-209,2026-03-04 09:47:09,Guía de Crecimiento Personal Vol. 79,62,Crecimiento Personal,"autoestima, psicología, motivación, cambio, resiliencia",9.4,5,15.2
CB-210,2025-11-24 10:47:09,Guía de Ansiedad Vol. 41,53,Ansiedad,"paz mental, estrés, mindfulness",8.1,3,14.17
CB-211,2025-12-10 10:47:09,Guía de Crecimiento Personal Vol. 55,55,Crecimiento Personal,"resiliencia, motivación, psicología, autoestima",8.5,3,14.12
CB-212,2025-12-07 06:47:09,Guía de Liderazgo Vol. 2,65,Liderazgo,"equipos, management, comunicación",8.2,4,16.93
CB-213,2026-01-02 08:47:09,Guía de Finanzas Personales Vol. 4,57,Finanzas Personales,"ahorro, dinero, libertad financiera, inversión",7.5,4,15.28
AF-214,2026-03-23 22:47:09,Guía de Finanzas Personales Vol. 15,58,Finanzas Personales,"dinero, ahorro, libertad financiera, inversión, presupuesto",10.0,3,13.57
AF-215,2025-10-20 13:47:09,Guía de Productividad Vol. 58,58,Productividad,"hábitos, tiempo, disciplina, metas",7.6,5,13.08
AF-216,2025-07-19 01:47:09,Guía de Crecimiento Personal Vol. 22,54,Crecimiento Personal,"motivación, autoestima, psicología",8.1,4,12.04
AF-217,2025-06-29 22:47:09,Guía de Liderazgo Vol. 38,58,Liderazgo,"estrategia, oficina, equipos, management, comunicación",10.0,5,13.35
CB-218,2025-06-10 03:47:09,Guía de Liderazgo Vol. 32,62,Liderazgo,"equipos, comunicación, empatía, management",8.2,4,15.65
AF-219,2025-10-23 17:47:09,Guía de Liderazgo Vol. 89,61,Liderazgo,"management, empatía, oficina, comunicación",7.3,4,13.12
AF-220,2025-06-29 09:47:09,Guía de Crecimiento Personal Vol. 28,63,Crecimiento Personal,"cambio, psicología, motivación",9.5,4,14.44
AF-221,2025-04-24 04:47:09,Guía de Liderazgo Vol. 88,51,Liderazgo,"oficina, management, estrategia",7.4,3,10.28
CB-222,2026-03-21 20:47:09,Guía de Ansiedad Vol. 84,59,Ansiedad,"paz mental, estrés, salud",7.8,4,16.03
CB-223,2025-08-17 07:47:09,Guía de Liderazgo Vol. 93,57,Liderazgo,"estrategia, oficina, comunicación, management",7.6,3,13.97
AF-224,2025-06-14 18:47:09,Guía de Productividad Vol. 2,60,Productividad,"tiempo, mañana, disciplina",7.2,4,11.78
AF-225,2025-07-17 05:47:09,Guía de Liderazgo Vol. 18,62,Liderazgo,"estrategia, equipos, oficina",8.6,3,13.42
AF-226,2026-02-19 14:47:09,Guía de Ansiedad Vol. 81,54,Ansiedad,"calma, respiración, mindfulness, estrés",9.7,3,12.65
AF-227,2025-09-16 13:47:09,Guía de Crecimiento Personal Vol. 41,54,Crecimiento Personal,"psicología, autoestima, cambio",8.7,5,13.09
CB-228,2026-02-21 17:47:09,Guía de Liderazgo Vol. 27,56,Liderazgo,"management, empatía, oficina, estrategia, equipos",8.2,3,14.8
AF-229,2025-12-20 17:47:09,Guía de Productividad Vol. 47,60,Productividad,"tiempo, metas, disciplina",8.1,5,12.9
CB-230,2025-11-22 04:47:09,Guía de Productividad Vol. 2,58,Productividad,"hábitos, disciplina, tiempo",8.5,5,16.78
AF-231,2025-11-10 09:47:09,Guía de Productividad Vol. 82,54,Productividad,"hábitos, enfoque, disciplina, metas",9.8,3,12.27
AF-232,2025-09-29 12:47:09,Guía de Productividad Vol. 40,63,Productividad,"mañana, hábitos, disciplina, metas, tiempo",7.3,5,13.97
AF-233,2025-10-30 19:47:09,Guía de Ansiedad Vol. 16,50,Ansiedad,"mindfulness, estrés, salud, respiración, paz mental",8.6,5,11.32
AF-234,2026-02-13 11:47:09,Guía de Liderazgo Vol. 94,53,Liderazgo,"empatía, management, estrategia",8.6,4,12.32
CB-235,2025-06-21 22:47:09,Guía de Crecimiento Personal Vol. 66,61,Crecimiento Personal,"cambio, motivación, resiliencia",7.5,3,16.24
AF-236,2025-05-12 08:47:09,Guía de Productividad Vol. 6,50,Productividad,"hábitos, tiempo, enfoque",8.1,3,9.91
AF-237,2026-01-06 12:47:09,Guía de Crecimiento Personal Vol. 29,60,Crecimiento Personal,"cambio, psicología, motivación",9.5,5,14.0
AF-238,2025-10-28 21:47:09,Guía de Ansiedad Vol. 29,51,Ansiedad,"estrés, respiración, paz mental, mindfulness",8.0,5,11.61
AF-239,2025-08-26 19:47:09,Guía de Liderazgo Vol. 95,57,Liderazgo,"empatía, comunicación, management, oficina",9.2,5,14.02
CB-240,2025-08-07 07:47:09,Guía de Crecimiento Personal Vol. 4,57,Crecimiento Personal,"psicología, autoestima, motivación, cambio, resiliencia",9.5,5,16.27
AF-241,2025-10-31 05:47:09,Guía de Crecimiento Personal Vol. 63,51,Crecimiento Personal,"psicología, autoestima, cambio",9.8,5,12.43
AF-242,2025-09-04 01:47:09,Guía de Productividad Vol. 75,53,Productividad,"mañana, tiempo, hábitos, enfoque, metas",8.3,3,10.72
AF-243,2026-02-16 18:47:09,Guía de Crecimiento Personal Vol. 90,60,Crecimiento Personal,"cambio, psicología, autoestima, resiliencia",9.8,3,13.96
CB-244,2025-06-23 17:47:09,Guía de Ansiedad Vol. 58,64,Ansiedad,"respiración, estrés, paz mental, calma",8.4,4,16.53
CB-245,2025-05-19 12:47:09,Guía de Liderazgo Vol. 91,51,Liderazgo,"empatía, equipos, oficina",9.1,4,14.54
AF-246,2025-05-24 22:47:09,Guía de Ansiedad Vol. 4,62,Ansiedad,"calma, salud, mindfulness, estrés",8.4,3,12.34
CB-247,2025-06-27 17:47:09,Guía de Crecimiento Personal Vol. 48,52,Crecimiento Personal,"resiliencia, psicología, autoestima, cambio, motivación",7.6,5,14.59
AF-248,2025-11-27 20:47:09,Guía de Liderazgo Vol. 16,51,Liderazgo,"oficina, equipos, management, empatía",8.2,3,10.57
AF-249,2025-12-24 16:47:09,Guía de Ansiedad Vol. 36,58,Ansiedad,"mindfulness, estrés, salud, paz mental",7.9,4,13.32
CB-250,2025-11-05 13:47:09,Guía de Crecimiento Personal Vol. 18,63,Crecimiento Personal,"resiliencia, motivación, psicología",10.0,5,18.69
AF-251,2025-09-13 16:47:09,Guía de Finanzas Personales Vol. 63,61,Finanzas Personales,"libertad financiera, dinero, inversión, presupuesto, ahorro",7.1,5,12.69
AF-252,2025-08-14 09:47:09,Guía de Crecimiento Personal Vol. 68,61,Crecimiento Personal,"motivación, resiliencia, autoestima, psicología, cambio",7.8,5,12.71
AF-253,2025-10-21 09:47:09,Guía de Crecimiento Personal Vol. 46,55,Crecimiento Personal,"motivación, psicología, cambio",9.1,5,12.11
AF-254,2026-01-18 06:47:09,Guía de Finanzas Personales Vol. 25,65,Finanzas Personales,"dinero, inversión, presupuesto, ahorro, libertad financiera",7.2,5,13.54
CB-255,2025-06-19 07:47:09,Guía de Finanzas Personales Vol. 26,54,Finanzas Personales,"inversión, dinero, ahorro, presupuesto",7.4,5,15.83
AF-256,2026-03-17 06:47:09,Guía de Productividad Vol. 48,62,Productividad,"hábitos, enfoque, metas, mañana, disciplina",9.9,5,15.75
AF-257,2025-06-27 20:47:09,Guía de Ansiedad Vol. 91,61,Ansiedad,"salud, calma, mindfulness",8.1,5,14.13
AF-258,2026-01-02 19:47:09,Guía de Finanzas Personales Vol. 51,51,Finanzas Personales,"libertad financiera, dinero, presupuesto",7.7,5,10.76
AF-259,2025-05-28 02:47:09,Guía de Productividad Vol. 31,61,Productividad,"mañana, hábitos, enfoque, disciplina",7.0,3,11.7
AF-260,2025-11-03 02:47:09,Guía de Productividad Vol. 93,50,Productividad,"tiempo, disciplina, metas",9.9,4,11.94
AF-261,2025-06-15 17:47:09,Guía de Productividad Vol. 62,57,Productividad,"tiempo, hábitos, metas",7.9,4,11.87
AF-262,2025-12-01 20:47:09,Guía de Crecimiento Personal Vol. 21,52,Crecimiento Personal,"autoestima, psicología, cambio, motivación, resiliencia",8.3,5,11.38
CB-263,2025-11-11 09:47:09,Guía de Liderazgo Vol. 27,56,Liderazgo,"estrategia, comunicación, empatía, management",7.8,3,13.79
AF-264,2025-08-03 18:47:09,Guía de Crecimiento Personal Vol. 20,51,Crecimiento Personal,"autoestima, cambio, resiliencia, motivación",9.5,5,12.65
CB-265,2025-09-05 17:47:09,Guía de Ansiedad Vol. 82,59,Ansiedad,"respiración, estrés, paz mental",9.4,4,16.48
AF-266,2025-09-08 09:47:09,Guía de Crecimiento Personal Vol. 24,61,Crecimiento Personal,"psicología, motivación, cambio, autoestima",7.8,4,12.63
CB-267,2026-01-23 12:47:09,Guía de Productividad Vol. 11,61,Productividad,"tiempo, metas, mañana, enfoque, hábitos",9.5,5,17.29
AF-268,2026-03-06 19:47:09,Guía de Crecimiento Personal Vol. 74,57,Crecimiento Personal,"psicología, autoestima, motivación, cambio",8.5,5,13.75
CB-269,2026-03-10 19:47:09,Guía de Crecimiento Personal Vol. 23,55,Crecimiento Personal,"motivación, resiliencia, autoestima",8.3,5,15.52
AF-270,2025-04-30 13:47:09,Guía de Liderazgo Vol. 41,52,Liderazgo,"management, comunicación, estrategia",8.7,4,11.79
AF-271,2025-09-17 08:47:09,Guía de Finanzas Personales Vol. 54,53,Finanzas Personales,"inversión, libertad financiera, dinero, ahorro",9.8,5,13.56
AF-272,2025-11-14 16:47:09,Guía de Crecimiento Personal Vol. 34,62,Crecimiento Personal,"cambio, resiliencia, autoestima, psicología, motivación",8.2,5,14.22
AF-273,2025-09-26 00:47:09,Guía de Liderazgo Vol. 89,57,Liderazgo,"estrategia, management, empatía",9.7,3,12.43
AF-274,2025-11-23 10:47:09,Guía de Crecimiento Personal Vol. 90,53,Crecimiento Personal,"motivación, psicología, cambio",8.3,4,11.29
AF-275,2026-01-08 03:47:09,Guía de Ansiedad Vol. 57,56,Ansiedad,"salud, respiración, paz mental, estrés",8.5,3,11.08
CB-276,2025-10-25 13:47:09,Guía de Finanzas Personales Vol. 73,50,Finanzas Personales,"inversión, libertad financiera, ahorro",7.7,4,12.95
CB-277,2025-12-22 09:47:09,Guía de Liderazgo Vol. 60,62,Liderazgo,"oficina, estrategia, equipos, management, empatía",8.8,3,17.22
AF-278,2025-08-10 22:47:09,Guía de Liderazgo Vol. 21,58,Liderazgo,"estrategia, oficina, empatía, comunicación, equipos",7.1,5,13.21
AF-279,2026-03-01 00:47:09,Guía de Ansiedad Vol. 35,63,Ansiedad,"estrés, salud, respiración, calma, paz mental",8.8,3,12.95
AF-280,2025-11-13 09:47:09,Guía de Liderazgo Vol. 55,62,Liderazgo,"management, empatía, equipos, estrategia",7.9,5,14.5
CB-281,2025-09-11 23:47:09,Guía de Finanzas Personales Vol. 85,61,Finanzas Personales,"libertad financiera, dinero, inversión, ahorro, presupuesto",7.2,4,16.08
AF-282,2026-01-03 00:47:09,Guía de Liderazgo Vol. 25,54,Liderazgo,"equipos, oficina, management, empatía, estrategia",9.0,5,11.85
AF-283,2025-09-23 20:47:09,Guía de Crecimiento Personal Vol. 52,62,Crecimiento Personal,"autoestima, motivación, cambio, resiliencia, psicología",9.7,5,14.47
AF-284,2025-07-26 12:47:09,Guía de Finanzas Personales Vol. 24,59,Finanzas Personales,"presupuesto, inversión, dinero",7.8,5,13.73
AF-285,2026-02-17 00:47:09,Guía de Productividad Vol. 29,61,Productividad,"disciplina, enfoque, tiempo",9.4,4,13.64
AF-286,2025-09-23 04:47:09,Guía de Productividad Vol. 61,51,Productividad,"metas, disciplina, hábitos, mañana, tiempo",8.5,5,11.71
CB-287,2025-06-04 06:47:09,Guía de Ansiedad Vol. 18,56,Ansiedad,"respiración, calma, salud, estrés",7.9,5,15.01
AF-288,2025-07-14 06:47:09,Guía de Ansiedad Vol. 41,51,Ansiedad,"respiración, paz mental, mindfulness",9.3,3,11.5
AF-289,2025-10-31 15:47:09,Guía de Productividad Vol. 17,63,Productividad,"tiempo, disciplina, metas, mañana, enfoque",7.0,5,13.0
AF-290,2025-09-26 20:47:09,Guía de Finanzas Personales Vol. 25,50,Finanzas Personales,"ahorro, inversión, libertad financiera, presupuesto, dinero",7.4,4,10.71
CB-291,2025-12-30 02:47:09,Guía de Productividad Vol. 39,59,Productividad,"disciplina, metas, enfoque, mañana",9.7,3,15.84
AF-292,2025-06-26 02:47:09,Guía de Ansiedad Vol. 52,50,Ansiedad,"mindfulness, salud, calma",9.2,5,12.11
AF-293,2025-06-22 04:47:09,Guía de Productividad Vol. 49,58,Productividad,"metas, hábitos, disciplina, enfoque, tiempo",9.0,3,11.7
AF-294,2025-06-14 12:47:09,Guía de Productividad Vol. 71,58,Productividad,"disciplina, mañana, metas, enfoque",9.1,3,12.25
AF-295,2025-08-03 23:47:09,Guía de Finanzas Personales Vol. 78,54,Finanzas Personales,"ahorro, libertad financiera, inversión, presupuesto",9.4,4,11.9
AF-296,2025-04-24 15:47:09,Guía de Ansiedad Vol. 46,63,Ansiedad,"mindfulness, estrés, respiración, calma",9.1,4,13.81
AF-297,2026-03-18 22:47:09,Guía de Productividad Vol. 74,65,Productividad,"hábitos, metas, disciplina",9.2,3,14.91
AF-298,2025-10-01 04:47:09,Guía de Liderazgo Vol. 34,64,Liderazgo,"oficina, equipos, estrategia",9.6,4,15.2
AF-299,2025-09-08 14:47:09,Guía de Productividad Vol. 98,51,Productividad,"mañana, disciplina, enfoque",8.1,4,12.16
CB-300,2026-03-21 20:47:09,Guía de Liderazgo Vol. 24,53,Liderazgo,"management, estrategia, empatía, equipos",9.1,4,15.75
CB-301,2025-06-29 06:47:09,Guía de Productividad Vol. 21,53,Productividad,"metas, tiempo, disciplina, hábitos",8.8,4,15.22
AF-302,2026-02-13 14:47:09,Guía de Productividad Vol. 53,64,Productividad,"hábitos, enfoque, metas",7.0,5,13.85
AF-303,2026-02-03 10:47:09,Guía de Liderazgo Vol. 67,53,Liderazgo,"estrategia, equipos, management, comunicación",9.0,5,12.37
CB-304,2025-08-16 08:47:09,Guía de Ansiedad Vol. 65,65,Ansiedad,"mindfulness, estrés, respiración, salud",7.7,4,15.95
AF-305,2026-03-23 15:47:09,Guía de Crecimiento Personal Vol. 31,52,Crecimiento Personal,"cambio, resiliencia, autoestima, motivación",8.3,3,12.01
CB-306,2025-10-15 02:47:09,Guía de Crecimiento Personal Vol. 5,50,Crecimiento Personal,"resiliencia, psicología, cambio",8.7,5,15.19
AF-307,2025-08-14 15:47:09,Guía de Ansiedad Vol. 59,60,Ansiedad,"calma, salud, respiración, paz mental, mindfulness",9.1,3,12.24
AF-308,2025-06-16 23:47:09,Guía de Liderazgo Vol. 71,61,Liderazgo,"oficina, estrategia, equipos, management, comunicación",9.5,5,14.89
AF-309,2026-03-14 12:47:09,Guía de Ansiedad Vol. 16,62,Ansiedad,"respiración, mindfulness, paz mental",7.3,4,12.14
AF-310,2025-07-23 13:47:09,Guía de Crecimiento Personal Vol. 59,54,Crecimiento Personal,"autoestima, resiliencia, psicología, motivación",9.5,4,13.4
AF-311,2025-08-28 23:47:09,Guía de Ansiedad Vol. 14,62,Ansiedad,"calma, salud, paz mental, respiración, mindfulness",8.3,5,14.88
AF-312,2026-02-01 11:47:09,Guía de Liderazgo Vol. 38,64,Liderazgo,"equipos, management, empatía",9.5,5,15.77
CB-313,2026-02-16 09:47:09,Guía de Ansiedad Vol. 80,59,Ansiedad,"paz mental, mindfulness, calma, salud, respiración",9.1,4,16.47
AF-314,2025-09-06 20:47:09,Guía de Crecimiento Personal Vol. 87,59,Crecimiento Personal,"autoestima, resiliencia, cambio, motivación",7.4,5,12.11
AF-315,2025-08-16 14:47:09,Guía de Liderazgo Vol. 19,51,Liderazgo,"empatía, equipos, oficina, comunicación, estrategia",7.3,5,11.83
AF-316,2025-08-29 21:47:09,Guía de Crecimiento Personal Vol. 31,59,Crecimiento Personal,"autoestima, cambio, motivación, psicología, resiliencia",9.9,3,12.28
AF-317,2025-07-21 14:47:09,Guía de Crecimiento Personal Vol. 29,61,Crecimiento Personal,"resiliencia, motivación, psicología, autoestima, cambio",8.3,5,13.0
AF-318,2025-12-18 13:47:09,Guía de Crecimiento Personal Vol. 6,63,Crecimiento Personal,"resiliencia, psicología, autoestima, cambio",8.8,4,13.01
AF-319,2025-08-13 20:47:09,Guía de Productividad Vol. 20,60,Productividad,"hábitos, metas, enfoque, mañana, tiempo",7.2,5,12.74
AF-320,2025-10-25 00:47:09,Guía de Finanzas Personales Vol. 21,63,Finanzas Personales,"libertad financiera, presupuesto, ahorro, inversión, dinero",9.7,5,14.61
CB-321,2026-03-07 22:47:09,Guía de Finanzas Personales Vol. 68,65,Finanzas Personales,"ahorro, libertad financiera, dinero, inversión, presupuesto",7.7,5,17.58
AF-322,2026-01-09 05:47:09,Guía de Liderazgo Vol. 49,53,Liderazgo,"empatía, comunicación, estrategia, oficina",9.7,4,12.48
AF-323,2026-03-09 17:47:09,Guía de Liderazgo Vol. 84,56,Liderazgo,"comunicación, oficina, estrategia, management",9.9,5,13.72
CB-324,2025-07-10 15:47:09,Guía de Ansiedad Vol. 88,63,Ansiedad,"mindfulness, calma, respiración",8.9,3,17.04
AF-325,2025-09-03 04:47:09,Guía de Liderazgo Vol. 5,52,Liderazgo,"oficina, equipos, empatía",8.7,5,12.89
AF-326,2026-02-16 16:47:09,Guía de Crecimiento Personal Vol. 56,60,Crecimiento Personal,"cambio, autoestima, psicología",7.0,5,13.24
AF-327,2025-05-09 06:47:09,Guía de Productividad Vol. 46,53,Productividad,"disciplina, enfoque, hábitos, mañana",9.3,4,12.01
CB-328,2026-02-01 19:47:09,Guía de Ansiedad Vol. 18,62,Ansiedad,"paz mental, mindfulness, salud, respiración, calma",9.9,3,16.96
CB-329,2025-07-04 20:47:09,Guía de Productividad Vol. 74,62,Productividad,"metas, hábitos, enfoque, disciplina, mañana",7.6,5,17.4
CB-330,2025-05-27 23:47:09,Guía de Finanzas Personales Vol. 33,56,Finanzas Personales,"inversión, ahorro, dinero",8.4,5,15.05
CB-331,2025-12-10 01:47:09,Guía de Finanzas Personales Vol. 63,60,Finanzas Personales,"inversión, libertad financiera, ahorro, presupuesto",8.9,3,15.59
AF-332,2026-03-18 04:47:09,Guía de Liderazgo Vol. 89,54,Liderazgo,"comunicación, empatía, estrategia, equipos, oficina",7.0,3,11.37
AF-333,2026-02-27 17:47:09,Guía de Liderazgo Vol. 18,60,Liderazgo,"management, estrategia, empatía, equipos",8.5,3,12.1
AF-334,2026-02-15 09:47:09,Guía de Ansiedad Vol. 69,56,Ansiedad,"salud, estrés, calma, respiración",9.5,5,12.51
AF-335,2025-09-18 19:47:09,Guía de Finanzas Personales Vol. 28,51,Finanzas Personales,"dinero, presupuesto, libertad financiera, ahorro, inversión",8.2,5,12.27
AF-336,2026-01-11 19:47:09,Guía de Finanzas Personales Vol. 12,62,Finanzas Personales,"libertad financiera, ahorro, dinero, presupuesto",9.5,5,15.02
AF-337,2025-10-29 22:47:09,Guía de Ansiedad Vol. 73,54,Ansiedad,"salud, respiración, paz mental, estrés, calma",9.3,3,11.08
CB-338,2026-01-15 11:47:09,Guía de Ansiedad Vol. 67,61,Ansiedad,"respiración, salud, estrés, calma",9.9,4,16.36
AF-339,2025-11-01 22:47:09,Guía de Liderazgo Vol. 75,55,Liderazgo,"estrategia, management, empatía, comunicación",9.0,3,12.03
AF-340,2025-09-13 21:47:09,Guía de Liderazgo Vol. 45,65,Liderazgo,"comunicación, oficina, equipos, management",7.5,3,13.28
CB-341,2026-02-19 20:47:09,Guía de Ansiedad Vol. 47,53,Ansiedad,"mindfulness, respiración, paz mental, calma, estrés",8.4,4,14.76
AF-342,2025-07-07 16:47:09,Guía de Crecimiento Personal Vol. 3,57,Crecimiento Personal,"motivación, resiliencia, autoestima",8.9,3,13.13
CB-343,2025-07-19 22:47:09,Guía de Ansiedad Vol. 67,62,Ansiedad,"calma, estrés, paz mental, salud, respiración",8.3,4,17.28
AF-344,2025-11-06 19:47:09,Guía de Finanzas Personales Vol. 19,55,Finanzas Personales,"libertad financiera, dinero, ahorro, inversión, presupuesto",8.8,3,11.36
CB-345,2026-01-21 07:47:09,Guía de Ansiedad Vol. 67,63,Ansiedad,"calma, estrés, mindfulness",8.4,5,17.5
AF-346,2025-11-28 22:47:09,Guía de Productividad Vol. 62,54,Productividad,"metas, hábitos, tiempo, enfoque, mañana",8.1,3,11.75
AF-347,2025-06-05 00:47:09,Guía de Crecimiento Personal Vol. 99,62,Crecimiento Personal,"resiliencia, autoestima, motivación, cambio",7.8,3,13.62
AF-348,2026-03-24 21:47:09,Guía de Finanzas Personales Vol. 53,58,Finanzas Personales,"ahorro, libertad financiera, dinero",8.6,5,12.41
AF-349,2025-10-28 10:47:09,Guía de Liderazgo Vol. 53,61,Liderazgo,"equipos, management, empatía",7.8,5,13.45
AF-350,2025-09-28 09:47:09,Guía de Crecimiento Personal Vol. 97,56,Crecimiento Personal,"resiliencia, cambio, autoestima, motivación",8.7,4,12.06
AF-351,2026-01-30 10:47:09,Guía de Crecimiento Personal Vol. 95,54,Crecimiento Personal,"autoestima, motivación, cambio, resiliencia, psicología",7.6,4,12.17
AF-352,2025-06-03 10:47:09,Guía de Productividad Vol. 21,62,Productividad,"hábitos, disciplina, mañana, tiempo, enfoque",7.3,4,12.49
CB-353,2026-01-14 00:47:09,Guía de Crecimiento Personal Vol. 52,59,Crecimiento Personal,"resiliencia, autoestima, cambio, motivación, psicología",7.0,5,16.66
CB-354,2025-11-14 02:47:09,Guía de Finanzas Personales Vol. 66,57,Finanzas Personales,"inversión, ahorro, libertad financiera, presupuesto, dinero",9.9,3,16.84
AF-355,2025-08-01 05:47:09,Guía de Crecimiento Personal Vol. 76,56,Crecimiento Personal,"autoestima, resiliencia, cambio, motivación, psicología",8.0,4,11.65
AF-356,2025-06-22 07:47:09,Guía de Finanzas Personales Vol. 1,58,Finanzas Personales,"presupuesto, ahorro, dinero",7.2,4,11.88
AF-357,2026-02-17 15:47:09,Guía de Finanzas Personales Vol. 74,58,Finanzas Personales,"presupuesto, libertad financiera, dinero, inversión, ahorro",9.3,4,13.61
AF-358,2025-09-04 22:47:09,Guía de Liderazgo Vol. 9,62,Liderazgo,"equipos, estrategia, empatía, comunicación, management",8.5,3,13.55
AF-359,2025-09-07 20:47:09,Guía de Crecimiento Personal Vol. 87,60,Crecimiento Personal,"resiliencia, motivación, cambio",7.9,3,13.24
AF-360,2026-03-06 02:47:09,Guía de Ansiedad Vol. 64,56,Ansiedad,"salud, mindfulness, paz mental",7.6,3,12.17
CB-361,2026-01-01 09:47:09,Guía de Productividad Vol. 16,52,Productividad,"disciplina, tiempo, hábitos, enfoque, metas",9.5,4,15.39
AF-362,2025-10-18 03:47:09,Guía de Crecimiento Personal Vol. 24,58,Crecimiento Personal,"motivación, resiliencia, autoestima, cambio",8.4,5,12.37
AF-363,2025-06-14 01:47:09,Guía de Ansiedad Vol. 59,53,Ansiedad,"calma, respiración, paz mental, salud, estrés",7.0,3,10.36
AF-364,2025-11-24 13:47:09,Guía de Liderazgo Vol. 24,58,Liderazgo,"empatía, management, estrategia",8.1,4,12.5
AF-365,2025-08-22 08:47:09,Guía de Liderazgo Vol. 52,58,Liderazgo,"equipos, comunicación, estrategia, empatía",9.1,3,13.09
AF-366,2025-10-02 06:47:09,Guía de Crecimiento Personal Vol. 26,54,Crecimiento Personal,"motivación, cambio, autoestima, psicología, resiliencia",8.5,5,12.58
AF-367,2025-06-12 05:47:09,Guía de Finanzas Personales Vol. 73,51,Finanzas Personales,"ahorro, inversión, libertad financiera, dinero",9.4,4,12.58
AF-368,2025-08-03 09:47:09,Guía de Liderazgo Vol. 47,61,Liderazgo,"comunicación, empatía, estrategia, oficina, equipos",7.4,5,14.33
AF-369,2025-12-17 11:47:09,Guía de Finanzas Personales Vol. 23,59,Finanzas Personales,"dinero, presupuesto, libertad financiera, inversión",9.7,4,13.88
AF-370,2025-10-03 11:47:09,Guía de Ansiedad Vol. 82,60,Ansiedad,"salud, calma, respiración, estrés",7.2,4,12.06
AF-371,2025-08-22 12:47:09,Guía de Liderazgo Vol. 78,62,Liderazgo,"management, empatía, estrategia, equipos",7.5,3,11.9
AF-372,2026-01-16 17:47:09,Guía de Productividad Vol. 27,55,Productividad,"hábitos, disciplina, metas, mañana",8.6,3,12.34
CB-373,2025-07-19 15:47:09,Guía de Finanzas Personales Vol. 20,52,Finanzas Personales,"presupuesto, dinero, ahorro, libertad financiera, inversión",8.3,3,13.31
CB-374,2026-02-20 10:47:09,Guía de Liderazgo Vol. 42,65,Liderazgo,"comunicación, empatía, management, oficina",9.9,5,18.53
